feature,importance
yearsExperience,0.1817362230001122
jobType_JANITOR,0.17688439292231145
milesFromMetropolis,0.12668063875700747
major_NONE,0.09107986373037259
jobType_JUNIOR,0.07154520992302939
jobType_CEO,0.05091429930736089
jobType_SENIOR,0.035615572169638225
industry_EDUCATION,0.030169614187377736
industry_OIL,0.021862845360364154
industry_FINANCE,0.021118323439565857
jobType_CFO,0.016568107943521912
jobType_MANAGER,0.016478450259404812
degree_NONE,0.016367499004947123
industry_SERVICE,0.01607815050640911
jobType_CTO,0.014999926534232195
degree_DOCTORAL,0.011356571925335316
degree_HIGH_SCHOOL,0.009687921756913586
jobType_VICE_PRESIDENT,0.009140311060559228
industry_AUTO,0.008140493740817366
industry_WEB,0.0068841519405769295
major_ENGINEERING,0.005163036063172824
industry_HEALTH,0.0047309102609322026
major_BUSINESS,0.0036557955978430033
degree_BACHELORS,0.003107479389924106
major_LITERATURE,0.002473399095514917
degree_MASTERS,0.002144098272032816
major_MATH,0.001297011704797446
major_BIOLOGY,0.0012082806950828573
major_CHEMISTRY,0.001092523676882909
major_PHYSICS,0.0007043282356390454
companyId_COMP43,0.0006772075651934618
companyId_COMP62,0.0006682544631802727
companyId_COMP16,0.0006632687279732979
companyId_COMP35,0.0006615898959007709
companyId_COMP3,0.0006615725348850455
companyId_COMP36,0.000660745851572581
companyId_COMP55,0.0006594710311127236
companyId_COMP54,0.0006585703462505855
companyId_COMP15,0.0006585310366078858
companyId_COMP13,0.0006581928626799195
companyId_COMP30,0.0006548394005895363
companyId_COMP18,0.000654580161586023
companyId_COMP59,0.0006545220037314104
companyId_COMP48,0.0006536432525959706
companyId_COMP34,0.0006533210558990621
companyId_COMP12,0.0006528958665122528
companyId_COMP51,0.0006525851451853369
companyId_COMP24,0.0006523819292984969
companyId_COMP11,0.0006512225090291393
companyId_COMP32,0.0006512173659712839
companyId_COMP37,0.0006510763953767272
companyId_COMP45,0.0006501877491827106
companyId_COMP39,0.000649404351861618
companyId_COMP2,0.0006490346445581408
companyId_COMP44,0.0006488938779013017
companyId_COMP17,0.0006484368304212334
companyId_COMP4,0.0006460017515576467
companyId_COMP33,0.0006458448236252652
companyId_COMP52,0.0006430755116277463
companyId_COMP6,0.0006428197087891603
companyId_COMP58,0.0006422642571252353
companyId_COMP20,0.0006421211808198714
companyId_COMP27,0.0006419285418708553
companyId_COMP47,0.0006412652547264585
companyId_COMP14,0.0006408093625140113
companyId_COMP21,0.0006406187303478419
companyId_COMP9,0.0006400676227752771
companyId_COMP40,0.0006400193470591067
companyId_COMP25,0.0006400042338602491
companyId_COMP22,0.0006379235363783479
companyId_COMP0,0.000637303983429021
companyId_COMP50,0.0006366709438074922
companyId_COMP49,0.0006364173333096208
companyId_COMP31,0.0006363221463343365
companyId_COMP23,0.0006344890676631324
companyId_COMP56,0.0006339294451604037
companyId_COMP46,0.0006336623875375935
companyId_COMP7,0.0006334373000510995
companyId_COMP38,0.0006323394443068931
companyId_COMP42,0.0006313934385391831
companyId_COMP60,0.0006300576806129901
companyId_COMP28,0.0006300435773399306
major_COMPSCI,0.0006299990851937655
companyId_COMP1,0.0006298080494924655
companyId_COMP10,0.0006289683196571931
companyId_COMP19,0.000628014862011682
companyId_COMP61,0.0006266856972387302
companyId_COMP8,0.0006253599375945319
companyId_COMP5,0.0006241440128317412
companyId_COMP57,0.0006232780491211517
companyId_COMP41,0.0006214798846844282
companyId_COMP26,0.0006202705228780309
companyId_COMP29,0.0006061970483228291
companyId_COMP53,0.0006038866030682685
